Age,Group,Male,Female
0,Default, 0.60 ,0.7
1,Default, 0.60 ,0.7
2,Default, 0.60 ,0.7
3,Default, 0.60 ,0.7
4,Default, 0.60 ,0.7
5,Default, 0.60 ,0.7
6,Default, 0.60 ,0.7
7,Default, 0.60 ,0.7
8,Default, 0.60 ,0.7
9,Default, 0.60 ,0.7
10,Default, 0.60 ,0.7
11,Default, 0.60 ,0.7
12,Default, 0.60 ,0.7
13,Default, 0.60 ,0.7
14,Default, 0.60 ,0.7
15,Default, 0.60 ,0.7
16,Default, 0.60 ,0.7
17,Default, 0.60 ,0.7
18,Default, 0.60 ,0.7
19,Default, 0.60 ,0.7
20,Default, 0.60 ,0.7
21,Default, 0.60 ,0.7
22,Default, 0.60 ,0.7
23,Default, 0.60 ,0.7
24,Default, 0.60 ,0.7
25,Default, 0.60 ,0.7
26,Default, 0.60 ,0.7
27,Default, 0.60 ,0.7
28,Default, 0.60 ,0.7
29,Default, 0.60 ,0.7
30,Default, 0.60 ,0.7
31,Default, 0.60 ,0.7
32,Default, 0.60 ,0.7
33,Default, 0.60 ,0.7
34,Default, 0.60 ,0.7
35,Default, 0.60 ,0.7
36,Default, 0.60 ,0.7
37,Default, 0.60 ,0.7
38,Default, 0.60 ,0.7
39,Default, 0.60 ,0.7
40,Default, 0.60 ,0.7
41,Default, 0.60 ,0.7
42,Default, 0.60 ,0.7
43,Default, 0.60 ,0.7
44,Default, 0.60 ,0.7
45,Default, 0.60 ,0.7
46,Default, 0.60 ,0.7
47,Default, 0.60 ,0.7
48,Default, 0.60 ,0.7
49,Default, 0.60 ,0.7
50,Default, 0.60 ,0.7
51,Default, 0.60 ,0.7
52,Default, 0.60 ,0.7
53,Default, 0.60 ,0.7
54,Default, 0.60 ,0.7
55,Default, 0.60 ,0.7
56,Default, 0.60 ,0.7
57,Default, 0.60 ,0.7
58,Default, 0.60 ,0.7
59,Default, 0.60 ,0.7
60,Default, 0.60 ,0.7
61,Default, 0.60 ,0.7
62,Default, 0.60 ,0.7
63,Default, 0.60 ,0.7
64,Default, 0.60 ,0.7
65,Default, 0.60 ,0.7
66,Default, 0.60 ,0.7
67,Default, 0.60 ,0.7
68,Default, 0.60 ,0.7
69,Default, 0.60 ,0.7
70,Default, 0.60 ,0.7
71,Default, 0.62 , 0.72 
72,Default, 0.64 , 0.73 
73,Default, 0.66 , 0.75 
74,Default, 0.68 , 0.76 
75,Default, 0.70 , 0.78 
76,Default, 0.72 , 0.79 
77,Default, 0.74 , 0.81 
78,Default, 0.76 , 0.82 
79,Default, 0.78 , 0.84 
80,Default, 0.80 , 0.85 
81,Default, 0.82 , 0.87 
82,Default, 0.84 , 0.88 
83,Default, 0.86 , 0.90 
84,Default, 0.88 , 0.91 
85,Default, 0.90 , 0.93 
86,Default, 0.92 , 0.94 
87,Default, 0.94 , 0.96 
88,Default, 0.96 , 0.97 
89,Default, 0.98 , 0.99 
90,Default, 1.00 , 1.00 
91,Default, 1.00 , 1.00 
92,Default, 1.00 , 1.00 
93,Default, 1.00 , 1.00 
94,Default, 1.00 , 1.00 
95,Default, 1.00 , 1.00 
96,Default, 1.00 , 1.00 
97,Default, 1.00 , 1.00 
98,Default, 1.00 , 1.00 
99,Default, 1.00 , 1.00 
100,Default, 1.00 , 1.00 
101,Default, 1.00 , 1.00 
102,Default, 1.00 , 1.00 
103,Default, 1.00 , 1.00 
104,Default, 1.00 , 1.00 
105,Default, 1.00 , 1.00 
106,Default, 1.00 , 1.00 
107,Default, 1.00 , 1.00 
108,Default, 1.00 , 1.00 
109,Default, 1.00 , 1.00 
110,Default, 1.00 , 1.00 
111,Default, 1.00 , 1.00 
112,Default, 1.00 , 1.00 
113,Default, 1.00 , 1.00 
114,Default, 1.00 , 1.00 
115,Default, 1.00 , 1.00 
116,Default, 1.00 , 1.00 
117,Default, 1.00 , 1.00 
118,Default, 1.00 , 1.00 
119,Default, 1.00 , 1.00 
120,Default, 1.00 , 1.00 
